STATE,YEAR,NUMBER OF DAYS OF RAINFALL,ANNUAL RAINFALL
Perlis,2002,156.0,1902.6
Perlis,2003,164.0,1837.3
Perlis,2004,155.0,1721.8
Perlis,2005,162.0,2155.3
Perlis,2006,156.0,2164.8
Perlis,2007,172.0,2128.6
Perlis,2008,176.0,1772.4
Perlis,2009,165.0,2107.1
Perlis,2010,175.0,2201.9
Perlis,2011,164.0,2162.0
Perlis,2012,178.0,2065.6
Perlis,2013,156.0,1714.2
Perlis,2014,154.0,1880.9
Perlis,2015,157.0,2123.8
Perlis,2016,140.0,1563.3
Perlis,2017,173.0,2313.4
Perlis,2018,171.0,1839.6
Perlis,2019,151.0,1553.8
Perlis,2020,172.0,2195.0
Perlis,2021,168.0,2081.0
Pulau Pinang,2000,187.0,2579.7
Pulau Pinang,2001,192.0,2286.3
Pulau Pinang,2002,156.5,1860.5
Pulau Pinang,2003,181.0,2762.45
Pulau Pinang,2004,172.0,2102.5
Pulau Pinang,2005,168.0,2027.3
Pulau Pinang,2006,178.0,2209.6
Pulau Pinang,2007,177.0,2165.8
Pulau Pinang,2008,180.5,2351.7
Pulau Pinang,2009,188.5,2806.9
Pulau Pinang,2010,173.5,2053.9
Pulau Pinang,2011,173.5,2411.7
Pulau Pinang,2012,186.0,2272.7
Pulau Pinang,2013,174.0,2531.6
Pulau Pinang,2014,164.0,2071.05
Pulau Pinang,2015,187.0,2744.15
Pulau Pinang,2016,168.5,2366.0
Pulau Pinang,2017,177.0,2633.0
Pulau Pinang,2018,189.5,2374.7
Pulau Pinang,2019,155.5,1949.5500000000002
Pulau Pinang,2020,177.0,1996.0
Pulau Pinang,2021,172.5,2107.5
Sabah,2000,211.5,2574.625
Sabah,2001,201.5,2899.85
Sabah,2002,158.25,1733.125
Sabah,2003,175.0,2404.225
Sabah,2004,165.5,2323.75
Sabah,2005,167.5,2580.3
Sabah,2006,194.75,3622.025
Sabah,2007,186.5,2952.6
Sabah,2008,207.0,3065.525
Sabah,2009,191.75,2889.95
Sabah,2010,173.0,2269.55
Sabah,2011,222.25,3661.425
Sabah,2012,205.75,2855.875
Sabah,2013,198.0,2557.85
Sabah,2014,169.5,2609.825
Sabah,2015,145.75,1889.925
Sabah,2016,163.5,2234.4
Sabah,2017,207.0,3244.275
Sabah,2018,187.75,2512.2250000000004
Sabah,2019,162.33333333333334,1749.7333333333333
Sabah,2020,190.33333333333334,2372.7166666666667
Sabah,2021,206.66666666666666,2711.866666666667
Sarawak,2000,222.0,3648.7999999999997
Sarawak,2001,227.0,3387.55
Sarawak,2002,210.5,3609.05
Sarawak,2003,225.5,3950.75
Sarawak,2004,211.0,3754.7
Sarawak,2005,210.0,3325.2
Sarawak,2006,214.5,3409.45
Sarawak,2007,245.5,4017.7
Sarawak,2008,230.0,3643.95
Sarawak,2009,214.5,3990.9
Sarawak,2010,233.5,3825.55
Sarawak,2011,222.0,3931.2
Sarawak,2012,225.0,3266.3
Sarawak,2013,228.0,3625.3999999999996
Sarawak,2014,196.0,3032.55
Sarawak,2015,210.4,3427.5800000000004
Sarawak,2016,227.0,3767.6400000000003
Sarawak,2017,236.0,3837.0
Sarawak,2018,225.2,3918.5199999999995
Sarawak,2019,206.125,2314.8625
Sarawak,2020,248.75,3961.35
Sarawak,2021,234.625,3991.925
Selangor,2015,218.0,3757.4
Selangor,2016,190.0,3420.4
Selangor,2017,208.0,2536.6
Selangor,2018,223.0,3851.5
Selangor,2019,214.0,3673.2
Selangor,2020,212.0,3817.0
Selangor,2021,,
Terengganu,2000,171.0,3187.0
Terengganu,2001,166.0,2580.4
Terengganu,2002,145.0,2329.1
Terengganu,2003,179.0,3341.7
Terengganu,2004,157.0,2194.4
Terengganu,2005,164.0,2825.0
Terengganu,2006,160.0,2047.0
Terengganu,2007,173.0,2129.0
Terengganu,2008,165.0,3609.6
Terengganu,2009,178.0,3593.6
Terengganu,2010,170.0,2363.2
Terengganu,2011,189.0,3645.4
Terengganu,2012,197.0,3094.4
Terengganu,2013,180.0,2908.0
Terengganu,2014,137.0,2870.6
Terengganu,2015,141.0,1860.4
Terengganu,2016,171.0,2946.4
Terengganu,2017,176.0,3074.4
Terengganu,2018,171.0,2646.0
Terengganu,2019,111.5,1603.5
Terengganu,2020,177.5,3238.8
Terengganu,2021,184.5,2518.3999999999996
Wilayah Persekutuan Labuan,2000,216.0,3678.1
Wilayah Persekutuan Labuan,2001,222.0,3652.6
Wilayah Persekutuan Labuan,2002,165.0,3061.2
Wilayah Persekutuan Labuan,2003,178.0,3207.2
Wilayah Persekutuan Labuan,2004,176.0,2407.9
Wilayah Persekutuan Labuan,2005,183.0,3761.1
Wilayah Persekutuan Labuan,2006,218.0,3151.8
Wilayah Persekutuan Labuan,2007,222.0,3277.1
Wilayah Persekutuan Labuan,2008,207.0,3823.4
Wilayah Persekutuan Labuan,2009,190.0,2927.4
Wilayah Persekutuan Labuan,2010,218.0,4628.6
Wilayah Persekutuan Labuan,2011,218.0,3410.8
Wilayah Persekutuan Labuan,2012,191.0,3323.4
Wilayah Persekutuan Labuan,2013,209.0,3114.2
Wilayah Persekutuan Labuan,2014,193.0,3054.8
Wilayah Persekutuan Labuan,2015,177.0,2840.4
Wilayah Persekutuan Labuan,2016,174.0,3117.5
Wilayah Persekutuan Labuan,2017,211.0,4938.9
Wilayah Persekutuan Labuan,2018,207.0,3033.2
Wilayah Persekutuan Labuan,2019,180.0,3433.6
Wilayah Persekutuan Labuan,2020,203.0,4301.3
Wilayah Persekutuan Labuan,2021,225.0,4127.5
